simd2020_decile,year,total
1,2012,997
1,2013,1225
1,2014,1237
1,2015,1525
1,2016,1682
1,2017,1576
1,2018,1676
1,2019,1443
1,2020,1338
2,2012,3420
2,2013,3811
2,2014,3919
2,2015,4440
2,2016,4563
2,2017,4797
2,2018,5205
2,2019,4949
2,2020,4588
3,2012,3929
3,2013,3858
3,2014,4371
3,2015,5562
3,2016,6388
3,2017,6513
3,2018,6280
3,2019,5802
3,2020,5292
4,2012,5423
4,2013,5908
4,2014,6927
4,2015,7954
4,2016,8386
4,2017,8902
4,2018,9276
4,2019,8369
4,2020,7544
5,2012,3899
5,2013,4429
5,2014,4984
5,2015,5832
5,2016,6550
5,2017,6991
5,2018,7615
5,2019,7446
5,2020,6949
6,2012,5650
6,2013,6171
6,2014,7057
6,2015,8156
6,2016,8796
6,2017,8844
6,2018,9309
6,2019,8794
6,2020,7604
7,2012,4308
7,2013,5177
7,2014,6153
7,2015,6574
7,2016,7110
7,2017,7893
7,2018,8531
7,2019,7835
7,2020,7569
8,2012,5017
8,2013,5814
8,2014,6512
8,2015,7861
8,2016,8779
8,2017,9681
8,2018,9522
8,2019,8874
8,2020,8917
9,2012,4273
9,2013,4831
9,2014,5519
9,2015,6421
9,2016,7576
9,2017,8391
9,2018,8724
9,2019,8173
9,2020,8090
10,2012,4177
10,2013,4630
10,2014,5651
10,2015,6273
10,2016,6909
10,2017,7273
10,2018,7129
10,2019,6738
10,2020,7228
