year,area,decile,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,Grampian,1,120,105,101,117,113,99,92,87,75,62,67,67,68,87,81,85,93,90,94,91,111,138,123,116,125
2012,Grampian,2,436,421,398,396,391,313,330,267,266,247,282,248,270,262,253,247,265,276,272,321,436,481,450,463,456
2012,Grampian,3,479,488,449,411,421,345,370,347,323,334,325,307,346,357,372,361,388,405,380,385,572,599,563,648,618
2012,Grampian,4,694,645,595,640,603,537,490,491,468,465,462,438,483,433,457,485,524,516,674,868,1123,1143,1069,1071,1038
2012,Grampian,5,547,552,565,543,534,516,501,443,445,476,450,471,480,442,519,534,550,552,529,618,658,736,742,727,719
2012,Grampian,6,702,690,731,749,678,668,658,644,664,601,637,713,646,742,755,770,761,867,1029,1457,1440,1264,1187,1153,1078
2012,Grampian,7,675,751,739,749,762,729,720,732,712,703,700,677,779,790,774,802,800,811,802,792,878,905,851,816,778
2012,Grampian,8,873,963,986,993,997,984,974,946,921,959,966,915,978,976,997,1080,1010,1042,1034,1042,1202,1265,1167,1116,1144
2012,Grampian,9,865,998,953,971,965,939,883,871,836,866,842,866,957,941,988,1004,989,1033,1258,1279,1078,1091,981,1015,1031
2012,Grampian,10,969,1000,1033,1009,1008,1002,968,910,893,891,799,906,933,1040,976,988,961,1041,951,913,1097,1157,1143,1156,1278
2013,Grampian,1,131,118,105,95,110,123,96,86,80,81,61,64,68,69,81,79,80,99,96,94,95,123,136,131,108
2013,Grampian,2,405,432,412,394,375,380,307,312,264,255,245,268,227,259,263,257,247,272,268,291,366,490,505,456,497
2013,Grampian,3,474,509,483,447,411,403,344,369,350,320,327,329,319,353,361,380,357,388,383,412,464,653,585,623,625
2013,Grampian,4,678,653,628,586,642,593,532,482,486,456,454,467,434,481,434,470,515,541,639,825,954,1155,1147,1083,1126
2013,Grampian,5,512,561,528,571,557,529,527,506,442,457,469,478,465,497,429,519,527,534,503,572,674,722,745,753,742
2013,Grampian,6,702,717,726,750,734,693,681,661,657,660,589,631,700,656,731,749,779,785,1075,1398,1430,1262,1244,1155,1106
2013,Grampian,7,758,684,781,749,758,796,749,737,732,720,712,717,681,783,798,782,802,801,800,798,859,861,938,873,807
2013,Grampian,8,864,902,971,1020,994,1021,996,1008,971,942,993,959,930,957,998,987,1079,1006,1008,1062,1231,1269,1269,1120,1119
2013,Grampian,9,849,903,1027,1025,1007,1004,955,926,896,866,880,857,890,991,952,993,1018,983,1236,1265,1048,1060,1092,1055,1028
2013,Grampian,10,901,950,985,1025,1034,1009,993,944,920,870,880,790,907,919,1037,978,975,964,875,900,1005,1195,1242,1218,1280
2014,Grampian,1,104,121,118,107,99,110,124,104,83,79,76,55,64,65,75,81,84,83,87,83,89,95,134,152,133
2014,Grampian,2,427,414,424,402,365,371,386,290,324,252,260,240,270,221,251,241,258,251,248,255,292,409,499,549,459
2014,Grampian,3,494,477,514,466,449,392,391,342,352,353,333,338,317,325,351,359,373,378,351,366,475,524,654,627,664
2014,Grampian,4,605,647,623,600,567,623,575,533,480,483,450,457,466,428,472,444,469,506,639,774,928,1017,1184,1166,1119
2014,Grampian,5,500,497,567,527,563,545,528,534,516,465,452,468,484,474,510,434,518,526,500,560,618,718,740,730,770
2014,Grampian,6,687,737,709,724,764,731,693,705,667,658,660,571,627,697,638,733,758,789,962,1365,1343,1294,1255,1170,1095
2014,Grampian,7,742,801,695,815,779,780,827,749,757,738,716,733,713,686,778,805,775,808,763,814,841,830,902,909,860
2014,Grampian,8,991,919,918,1041,1058,1053,1054,1024,1021,999,968,1015,966,937,989,989,1001,1087,991,1003,1203,1285,1277,1244,1153
2014,Grampian,9,927,881,963,1054,1055,1053,1052,978,946,933,874,884,883,908,1009,975,1017,1030,1194,1301,1151,1013,1063,1210,1070
2014,Grampian,10,906,855,945,978,1039,1026,1015,990,942,905,885,858,785,897,906,1034,967,956,778,793,976,1088,1236,1303,1286
2015,Grampian,1,101,114,115,123,109,98,111,124,107,84,79,74,59,62,70,76,77,88,84,78,72,105,115,124,150
2015,Grampian,2,386,403,414,405,409,353,362,367,272,302,252,253,226,265,227,250,244,261,239,231,301,311,440,552,596
2015,Grampian,3,450,488,472,515,452,444,390,384,331,345,348,326,331,321,322,353,360,382,345,347,437,528,515,725,651
2015,Grampian,4,595,589,633,601,583,549,627,579,529,481,477,433,451,454,422,465,442,494,622,805,893,1003,1024,1166,1174
2015,Grampian,5,525,509,517,562,547,558,530,525,519,517,449,458,482,473,458,513,429,516,487,545,596,639,741,761,737
2015,Grampian,6,662,704,730,710,718,777,748,712,713,658,660,674,583,628,695,643,742,767,1020,1327,1387,1262,1246,1196,1137
2015,Grampian,7,710,751,806,723,847,799,806,840,759,765,737,715,732,731,701,775,821,753,795,788,857,845,816,902,906
2015,Grampian,8,1038,1010,948,929,1076,1088,1054,1076,1044,1043,1017,988,1027,978,941,1002,994,1020,1001,1011,1217,1271,1312,1245,1262
2015,Grampian,9,941,945,931,1015,1043,1042,1076,1032,993,951,934,883,878,885,933,1026,989,1020,1230,1164,1061,1071,984,1104,1196
2015,Grampian,10,857,899,840,926,962,1026,995,1011,1009,931,908,892,872,782,893,893,1033,963,815,709,907,1028,1157,1322,1336
2016,Grampian,1,110,90,103,104,120,104,88,104,122,105,88,79,76,64,70,66,87,78,81,78,86,78,116,106,128
2016,Grampian,2,441,374,406,406,373,383,335,352,337,254,290,234,227,206,247,229,254,238,219,247,260,314,336,477,558
2016,Grampian,3,464,469,473,455,482,434,449,369,375,345,338,342,322,335,321,318,352,378,354,344,431,481,510,559,716
2016,Grampian,4,569,541,585,604,591,572,541,594,571,527,468,462,448,452,440,426,464,465,571,791,899,953,988,999,1131
2016,Grampian,5,525,508,526,543,546,556,551,558,540,510,537,449,465,488,454,455,504,429,481,483,573,650,645,749,755
2016,Grampian,6,660,683,677,703,716,728,785,771,700,718,653,659,675,588,641,707,655,744,976,1341,1297,1223,1197,1158,1121
2016,Grampian,7,770,733,730,777,716,870,788,814,850,743,768,749,705,744,745,700,776,800,707,810,841,836,847,810,869
2016,Grampian,8,1032,1057,1032,1007,967,1085,1135,1082,1116,1071,1070,1029,1006,1019,993,940,1004,991,979,993,1197,1250,1234,1248,1233
2016,Grampian,9,928,950,972,915,1036,1032,1054,1060,1037,1014,941,942,884,869,880,955,1037,1009,1196,1231,980,994,1046,969,1105
2016,Grampian,10,942,861,868,881,932,976,1009,980,1005,991,928,907,898,882,779,890,893,1006,784,774,804,986,1038,1199,1338
2017,Grampian,1,98,119,96,110,100,112,106,93,107,116,101,83,85,73,63,75,61,82,75,70,83,84,71,105,103
2017,Grampian,2,350,395,332,373,382,343,351,314,328,317,237,269,222,215,207,245,231,254,224,225,269,285,351,330,449
2017,Grampian,3,430,441,458,453,457,479,423,432,359,368,325,339,338,304,330,310,324,351,350,342,416,485,455,518,575
2017,Grampian,4,564,571,542,567,590,584,579,521,576,574,522,457,450,426,457,443,422,459,558,695,886,962,937,918,944
2017,Grampian,5,477,510,494,478,548,531,541,539,569,542,515,543,460,461,493,435,444,487,386,509,524,597,666,637,710
2017,Grampian,6,665,663,693,679,689,706,728,796,761,700,710,654,665,686,581,648,712,669,932,1281,1287,1166,1129,1101,1048
2017,Grampian,7,695,780,747,734,809,743,857,812,815,873,750,780,753,719,740,743,704,787,763,716,846,835,856,822,790
2017,Grampian,8,1004,1089,1072,1060,1027,990,1100,1164,1106,1138,1080,1071,1023,1025,1028,989,945,980,960,928,1163,1228,1225,1183,1216
2017,Grampian,9,895,925,951,1003,907,1022,1058,1059,1064,1037,1039,943,945,901,900,893,957,1083,1137,1149,1033,924,922,1078,977
2017,Grampian,10,806,948,849,866,881,936,984,1007,984,1008,992,923,923,892,869,773,889,880,832,693,905,928,1016,1010,1174
2018,Grampian,1,84,87,116,99,112,92,107,99,92,98,113,99,84,75,73,53,77,65,76,71,76,86,78,81,99
2018,Grampian,2,320,343,374,315,351,347,329,334,292,310,300,230,255,218,209,204,237,229,230,214,248,312,315,361,347
2018,Grampian,3,416,412,427,448,427,466,466,422,424,352,378,313,343,332,314,330,311,327,307,343,388,468,464,467,497
2018,Grampian,4,559,517,549,535,542,597,552,560,533,570,557,513,457,434,409,460,428,413,538,686,795,950,959,910,888
2018,Grampian,5,469,475,510,477,476,533,517,527,516,564,533,505,544,465,462,498,445,446,454,420,549,556,622,675,637
2018,Grampian,6,655,683,653,701,677,699,708,741,799,773,724,703,672,677,694,579,651,706,833,1199,1253,1123,1120,1045,1010
2018,Grampian,7,713,705,751,739,744,800,756,861,798,825,867,754,774,744,717,730,738,694,711,742,751,805,828,821,758
2018,Grampian,8,988,1027,1104,1073,1063,1028,1000,1110,1209,1092,1131,1080,1067,1029,1011,1039,982,964,924,979,1100,1169,1187,1157,1157
2018,Grampian,9,929,918,971,994,1030,935,1041,1082,1071,1090,1044,1060,967,973,934,927,913,993,1185,1099,931,948,886,933,1045
2018,Grampian,10,774,813,949,849,894,876,959,997,1016,996,1012,977,910,915,902,868,786,880,731,742,791,966,930,1027,964
2019,Grampian,1,100,78,86,112,103,107,97,104,87,87,98,106,93,81,75,73,54,71,48,74,80,75,80,83,76
2019,Grampian,2,321,301,331,360,285,329,332,321,321,267,286,288,223,261,213,216,221,237,227,229,234,264,327,323,363
2019,Grampian,3,403,413,404,404,455,419,451,465,402,405,338,373,313,343,333,321,324,313,279,297,394,422,453,497,477
2019,Grampian,4,494,528,509,550,526,532,599,536,562,555,550,541,497,450,423,409,446,451,492,699,781,877,944,948,887
2019,Grampian,5,417,443,478,506,479,478,521,521,521,521,556,525,485,536,458,452,503,436,411,473,466,578,581,608,672
2019,Grampian,6,646,677,706,667,713,685,704,706,753,803,798,740,701,670,675,693,584,656,870,1110,1214,1094,1097,1063,997
2019,Grampian,7,740,740,718,763,739,737,824,758,868,800,838,858,781,765,753,722,725,735,645,697,785,718,787,782,799
2019,Grampian,8,1010,1001,1043,1154,1120,1100,1053,1037,1134,1230,1128,1150,1107,1100,1051,1007,1045,965,946,891,1062,1115,1140,1114,1137
2019,Grampian,9,860,956,937,987,1000,1046,935,1052,1107,1103,1115,1069,1081,993,1004,955,938,962,1131,1169,913,895,923,945,915
2019,Grampian,10,751,784,809,958,860,905,883,981,1011,1004,999,1025,972,924,913,897,865,778,736,637,820,885,981,926,1021
2020,Grampian,1,65 ,97 ,74 ,84 ,101 ,99 ,95 ,86 ,98 ,82 ,84 ,92 ,98 ,92 ,76 ,72 ,71 ,45 ,66 ,57 ,78 ,77 ,74 ,79 ,84 
2020,Grampian,2,263 ,323 ,294 ,319 ,335 ,281 ,317 ,325 ,309 ,309 ,261 ,264 ,278 ,212 ,254 ,211 ,225 ,219 ,219 ,218 ,244 ,254 ,311 ,339 ,328 
2020,Grampian,3,333 ,387 ,405 ,399 ,395 ,418 ,408 ,448 ,466 ,395 ,396 ,338 ,372 ,309 ,346 ,331 ,314 ,337 ,280 ,282 ,361 ,428 ,411 ,483 ,518 
2020,Grampian,4,471 ,491 ,511 ,517 ,544 ,535 ,530 ,585 ,534 ,555 ,539 ,553 ,530 ,501 ,458 ,420 ,414 ,457 ,507 ,609 ,744 ,808 ,872 ,912 ,932 
2020,Grampian,5,440 ,412 ,450 ,482 ,506 ,480 ,484 ,521 ,526 ,522 ,522 ,559 ,527 ,485 ,527 ,466 ,440 ,494 ,394 ,435 ,507 ,493 ,598 ,597 ,604 
2020,Grampian,6,645 ,664 ,674 ,708 ,663 ,717 ,672 ,723 ,707 ,770 ,797 ,810 ,748 ,700 ,682 ,675 ,691 ,592 ,815 ,"1,142 ","1,132 ","1,070 ","1,038 ","1,049 ","1,025 "
2020,Grampian,7,662 ,756 ,746 ,708 ,760 ,756 ,749 ,808 ,736 ,865 ,791 ,845 ,849 ,791 ,761 ,751 ,713 ,716 ,681 ,638 ,733 ,756 ,732 ,771 ,739 
2020,Grampian,8,982 ,"1,065 ","1,056 ","1,041 ","1,195 ","1,144 ","1,125 ","1,065 ","1,061 ","1,159 ","1,251 ","1,139 ","1,176 ","1,117 ","1,109 ","1,066 ","1,016 ","1,038 ",925 ,923 ,"1,012 ","1,118 ","1,121 ","1,095 ","1,120 "
2020,Grampian,9,737 ,840 ,990 ,945 ,999 ,"1,007 ","1,070 ",954 ,"1,065 ","1,133 ","1,124 ","1,142 ","1,077 ","1,085 ","1,021 ","1,026 ",992 ,966 ,"1,089 ","1,077 ",972 ,856 ,826 ,974 ,896 
2020,Grampian,10,750 ,741 ,764 ,822 ,956 ,863 ,910 ,877 ,996 ,"1,011 ","1,021 ",996 ,"1,022 ",978 ,941 ,918 ,898 ,854 ,670 ,651 ,682 ,886 ,923 ,"1,023 ",927 
