month_year,mean_age
2015-01-01,11.608888888888888
2015-02-01,11.40552995391705
2015-03-01,11.46236559139785
2015-04-01,11.379807692307692
2015-05-01,10.48582995951417
2015-06-01,10.995238095238095
2015-07-01,11.853658536585366
2015-08-01,10.303030303030303
2015-09-01,11.625498007968128
2015-10-01,11.36322869955157
2015-11-01,11.704347826086957
2015-12-01,11.987341772151899
2016-01-01,11.588785046728972
2016-02-01,11.234432234432234
2016-03-01,11.77310924369748
2016-04-01,10.823834196891191
2016-05-01,11.233009708737864
2016-06-01,11.721030042918455
2016-07-01,11.17910447761194
2016-08-01,10.56
2016-09-01,11.666666666666666
2016-10-01,11.276923076923078
2016-11-01,11.457777777777778
2016-12-01,11.415929203539823
2017-01-01,11.805128205128206
2017-02-01,11.033980582524272
2017-03-01,11.485074626865671
2017-04-01,11.13089005235602
2017-05-01,10.763485477178424
2017-06-01,11.719806763285025
2017-07-01,10.502958579881657
2017-08-01,11.036363636363637
2017-09-01,11.822966507177034
2017-10-01,11.286363636363637
2017-11-01,11.96414342629482
2017-12-01,12.11111111111111
2018-01-01,12.186274509803921
2018-02-01,11.550925925925926
2018-03-01,11.85603112840467
2018-04-01,11.307317073170731
2018-05-01,11.580645161290322
2018-06-01,11.892116182572614
2018-07-01,11.414012738853502
2018-08-01,11.796296296296296
2018-09-01,11.720588235294118
2018-10-01,11.795081967213115
2018-11-01,12.178137651821862
2018-12-01,12.09486166007905
2019-01-01,11.895238095238096
2019-02-01,11.567460317460318
2019-03-01,11.510121457489879
2019-04-01,11.564593301435407
2019-05-01,11.760162601626016
2019-06-01,12.184834123222748
2019-07-01,12.380681818181818
2019-08-01,12.261904761904763
2019-09-01,12.08108108108108
2019-10-01,12.150537634408602
2019-11-01,12.168539325842696
2019-12-01,12.763157894736842
2020-01-01,12.419753086419753
2020-02-01,12.587719298245615
2020-03-01,12.404878048780487
2020-04-01,12.612244897959183
2020-05-01,12.552941176470588
2020-06-01,12.311377245508982
2020-07-01,12.121019108280255
2020-08-01,12.86046511627907
2020-09-01,12.884328358208956
2020-10-01,13.06140350877193
2020-11-01,12.887218045112782
2020-12-01,13
2021-01-01,12.731543624161073
2021-02-01,12.42134831460674
2021-03-01,12.546296296296296
2021-04-01,12.93421052631579
2021-05-01,13.00355871886121
2021-06-01,12.961864406779661
