quarter,total_referrals,people
2015-01-01,858,825
2015-04-01,802,775
2015-07-01,700,667
2015-10-01,826,806
2016-01-01,858,821
2016-04-01,754,726
2016-07-01,639,622
2016-10-01,794,765
2017-01-01,814,795
2017-04-01,791,770
2017-07-01,650,633
2017-10-01,804,782
2018-01-01,854,828
2018-04-01,870,842
2018-07-01,639,622
2018-10-01,902,882
2019-01-01,882,859
2019-04-01,828,808
2019-07-01,729,713
2019-10-01,890,864
2020-01-01,834,818
2020-04-01,394,391
2020-07-01,788,772
2020-10-01,1028,982
2021-01-01,791,753
2021-04-01,1096,1029
2021-07-01,814,780
