simd2020_decile,total_referrals,people,mean_pop,refs_per_100
1,417,300,1435.6666666666667,29.045739493847222
2,1344,947,4615.166666666667,29.12137517604998
3,1835,1270,6072.333333333333,30.219026184333313
4,2288,1619,8171.166666666667,28.000897464662327
5,2062,1462,8038.166666666667,25.652615646187975
6,2476,1788,11182.5,22.141739324837918
7,2888,2088,12328.666666666666,23.425079759909156
8,3308,2413,16955.666666666668,19.5097017712859
9,2909,2161,15989.166666666666,18.193568562047222
10,2347,1814,14802.333333333334,15.855608350034903
